date, SBER, ROSN, LKOH, GAZP, NVTK, GMKN, TATN, SIBN, SNGS, NLMK, CHMF, PLZL, ALRS, YNDX, MAGN, MTSS, VTBR, RUAL, MGNT, IRAO, MFON, UNAC, POLY, BANE, PHOR, URKA, PIKK, HYDR, FEES, MOEX, RTKM, RSTI, VSMO, AKRN, KZOS, UPRO, MGTS, CBOM, NMTP, NKNC, AGRO, AFLT, LNTA, RASP, ROSB, AFKS, MSNG, RGSS, MVID, IRGZ, TRCN, LSRG, QIWI, CHEP, UWGN, SFIN, LSNG, ALNU, IRKT, TRMK, GCHE, MRKK, MTLR, MFGS, AVAN, APTK, PRTK, KMAZ, ENRU, OGKB, TGKA, MSRS, UCSS, MRKP, OPIN, UTAR, DVEC, KAZT
1/17/2017,150.505402,356.31604,2751.978271,127.051758,708.813782,7877.665039,343.885193,189.952698,29.143469,88.608475,682.585449,4014.547119,71.712265,1303,29.151417,203.743591,0.058589,28.126547,8954.936523,3.615021,576.813171,0.54,687.847839,3128.168457,2466.847412,167.100006,270.031647,0.832804,0.171085,113.27272,67.873322,1.17024,10759.16602,2834.716797,39.111309,2.479922,662.022766,4.30832,4.945894,73,843.837219,132.924423,475,88.459999,68.400002,20.990637,2.421424,0.40188,369.200012,15.07,3282.460449,773.746094,740.572632,87.543777,795.093994,695.214233,5.151647,160114.6719,8.418092,75.578049,720.748047,21.4,189,537,480.989502,10.21,109.407806,46.875427,0.788684,0.496123,0.014285,0.825887,1044.413208,0.13232,338,10.2,0.675,81.58754
1/18/2017,149.834412,352.040588,2744.317139,126.398521,704.773376,7823.589844,341.405945,190.497086,29.064085,89.474876,675.827087,3971.304932,72.831642,1299,28.520435,202.667191,0.058081,28.636305,8836.445313,3.635465,576.247314,0.5325,688.846863,3118.181396,2485.788086,167,270.312927,0.896932,0.183592,114.756271,67.688782,1.206412,10715.28027,2851.008545,39.022816,2.500057,665.018372,4.29133,4.967212,72.900002,843.837219,137.038773,471,88.099998,68.099998,20.942707,2.568966,0.40188,370.299988,15.1,3282.460449,770.730957,715.587097,90.761055,796.585022,698.570435,5.146907,160560.6719,8.426896,75.010857,716.374634,21.950001,187.080002,544,480.989502,10.22,109.693222,47.068729,0.796217,0.538538,0.014701,0.854214,1044.413208,0.13323,343,10.24,0.695,82.235062
1/19/2017,150.795578,346.355164,2719.632324,124.736473,692.84436,7857.183594,335.024872,189.157043,29.348934,88.293419,671.08197,3978.223633,72.54277,1307,28.671871,206.050095,0.058148,29.655817,8932.149414,3.531847,590.488464,0.533,679.855469,3128.168457,2454.219727,167.399994,257.842712,0.937546,0.177965,114.913345,67.801109,1.212278,10751.85059,2810.279785,38.137947,2.508446,661.273926,4.29633,5.048933,73,845.832092,134.784683,470.5,88.010002,68.699997,21.735792,2.565928,0.3999,373,15.06,3287.045166,758.293701,713.588196,91.269051,794.596985,698.570435,5.308044,161898.6875,8.277203,76.381569,710.25177,21.9,191,544,480.989502,10.16,110.073761,47.213707,0.798476,0.537693,0.014784,0.840936,1049.204102,0.132982,339,10.25,0.684,82.32756
1/20/2017,151.874634,352.495422,2706.86377,123.785545,695.826599,7668.741211,334.212006,189.198914,29.605768,86.639397,656.199402,3989.471191,72.001137,1315,28.856956,209.817429,0.057928,29.256008,8868.34375,3.482129,604.635254,0.534,681.354004,3163.775146,2488.494385,169.75,255.967499,0.929081,0.176855,114.101768,67.688782,1.201622,10722.59473,2818.425293,38.137947,2.486634,623.829224,4.28533,5.009849,73.300003,844.834656,134.491394,471.5,88,67.099998,21.897022,2.578513,0.40387,372.5,15.04,3264.122803,756.786255,710.589905,94.994308,795.093994,698.570435,5.251173,160114.6719,8.435702,76.097969,712.875793,22.049999,190.009995,521,480.989502,10.13,110.644592,47.358681,0.79697,0.533752,0.014637,0.842706,1044.413208,0.130004,336,10.17,0.7,82.32756
1/23/2017,151.203629,354.951569,2703.884521,122.462524,677.740784,7721.177246,326.611694,185.011246,29.171488,85.85965,648.146973,3979.093262,73.662148,1295,29.235546,205.819458,0.05814,29.345966,8835.537109,3.573201,591.808838,0.5295,691.844055,3174.196533,2467.749023,168.449997,263.937195,0.90762,0.17916,113.796326,68.106026,1.208368,10751.85059,2798.061523,38.137947,2.461465,629.071411,4.25433,5.027615,73.099998,835.857605,134.240005,468.5,87.330002,68.5,21.644279,2.563759,0.4128,374,14.98,3264.122803,759.047546,712.588806,93.216339,795.093994,698.091003,5.236955,160560.6719,8.576591,77.043289,707.627686,21.950001,188.020004,527,469.258057,10.13,108.075882,47.068729,0.818062,0.539288,0.014452,0.846247,1049.204102,0.1262,337,10.28,0.701,82.32756
1/24/2017,154.377319,353.086731,2715.375977,124.157646,712.758179,7771.974609,334.659119,187.021332,29.306906,88.608475,666.696289,3977.364014,75.69146,1349,29.164034,204.281784,0.057987,30.785276,8831.883789,3.615021,595.58136,0.5295,707.329346,3172.025391,2495.709717,167.300003,266.46875,0.879746,0.185552,114.852264,67.399933,1.215211,10751.85059,2765.478271,38.845848,2.390994,658.27832,4.29433,5.038274,72.800003,834.860168,135.245544,474,89.339996,67.900002,21.731434,2.572871,0.41379,377.600006,14.84,3392.487305,753.771118,711.589417,93.216339,795.093994,699.529358,5.19904,160560.6719,8.673452,77.799545,713.750488,23.799999,190.729996,527,469.258057,10.25,108.932121,49.581642,0.827101,0.54398,0.014941,0.867491,1049.204102,0.126448,336,10.34,0.698,82.32756
1/25/2017,154.386383,349.038696,2736.65625,122.090416,723.147827,7812.120117,333.114624,187.775101,29.689821,88.655739,672.016602,3969.575684,74.889839,1381,30.287182,206.050095,0.057987,31.644865,8772.647461,3.678678,585.678528,0.529,698.337891,3109.931152,2578.961426,168,267.031281,0.880772,0.183895,115.070427,66.043915,1.190575,10744.53711,2769.550781,39.199791,2.358275,650.040527,4.28833,5.070251,73,835.857605,139.695084,474.5,92.269997,67.699997,21.535339,2.56723,0.4128,384.5,14.68,3475.00708,753.394226,735.5755,94.824982,796.088013,701.447205,5.142169,160560.6719,8.805534,77.515953,708.502319,24,189.979996,538,469.258057,10.11,108.361298,49.243366,0.817308,0.53957,0.014914,0.86041,1049.204102,0.126862,330,10.16,0.69,82.32756
1/26/2017,157.587265,353.859924,2874.127441,124.438797,739.790771,8021.043945,349.494019,190.957748,30.535032,91.680237,704.585693,3995.520752,75.554253,1411,31.439775,213.354126,0.058487,34.373562,9132.665039,3.667062,598.316406,0.535,666.368225,3144.234863,2560.664307,169.75,267.500092,0.890947,0.189758,119.049805,66.790115,1.191748,10664.08008,2826.571533,39.819202,2.375054,644.798218,4.29833,5.038274,72.800003,857.801453,138.681152,486,91.349998,67.400002,21.644279,2.570268,0.41578,381.399994,14.8,3424.578369,759.801331,780.549622,107.186096,797.578979,700.488281,5.151647,161452.6719,9.043284,79.642914,718.123962,23.950001,190,538,405.712677,10.15,108.361298,48.905087,0.829361,0.532063,0.014923,0.856869,1049.204102,0.126531,327,9.92,0.688,82.882576
1/27/2017,162.238998,365.685577,2967.335693,127.415596,750.372925,8022.682129,353.598999,190.371475,30.376265,91.995293,714.435608,3986.87207,77.64856,1418.5,31.700586,213.008118,0.059003,34.363567,9023.294922,3.671244,602.560486,0.55,666.368225,3191.565674,2616.469727,170,268.437714,0.905055,0.1943,120.864967,67.287598,1.204457,10751.85059,2855.081299,39.553741,2.374215,646.296082,4.30532,5.052486,72.5,854.809082,141.195023,485.5,90.779999,67.900002,21.565844,2.516892,0.4128,383.200012,14.94,3433.747314,753.771118,798.539185,115.144623,798.075989,700.488281,5.151647,160560.6719,9.465949,79.217514,719.873352,24,190.009995,554,405.712677,10.24,108.836983,48.808437,0.888117,0.533846,0.014683,0.899359,1044.413208,0.127606,339,9.9,0.695,80.570007
1/30/2017,158.321777,362.956543,2900.940918,124.695114,743.446411,8006.297852,342.218811,189.575821,30.100752,91.451828,693.369873,3983.413086,77.6269,1370,31.969807,212.469955,0.058749,34.683414,8772.647461,3.773003,602.088928,0.555,673.861084,3203.289795,2619.2146,169.949997,268.718994,0.90172,0.198918,118.683296,66.998734,1.226747,10773.79395,2842.862549,39.730717,2.359114,630.569275,4.26733,5.04538,72.800003,856.803955,143.2061,477.5,91.290001,67.300003,21.265167,2.496497,0.41677,382.100006,14.86,3433.747314,753.394226,796.540344,115.144623,795.093994,700.488281,5.203779,158776.6719,9.994283,78.366737,719.873352,23.950001,188,554,405.712677,10.15,109.027252,49.195042,0.895649,0.528403,0.014637,0.912637,1049.204102,0.128102,336,9.95,0.721,82.32756
1/31/2017,156.145508,364.412079,2868.594727,123.86824,730.940186,7889.135742,330.594788,193.219086,30.212822,92.979836,683.016724,4019.736328,76.334198,1379,33.101372,211.970215,0.058385,35.842857,8795.435547,3.785549,596.807373,0.553,691.344543,3518.104004,2606.406494,170.5,268.062653,0.88385,0.195393,117.11248,66.990723,1.210812,10729.9082,2859.154053,40.5271,2.370859,630.569275,4.26133,5.031168,72.900002,854.809082,145.946213,475,90.139999,67,20.833763,2.456573,0.41379,385,14.95,3374.149414,754.524902,820.526489,115.144623,797.578979,705.762329,5.184822,158776.6719,9.686088,78.414001,723.372131,23.549999,186.009995,540,488.810455,10.14,109.312668,50.354843,0.881337,0.519582,0.014618,0.901129,1049.204102,0.127275,341,10.09,0.717,83.252594
2/1/2017,157.687012,365.230774,2872.850586,123.744194,735.750244,8068.564941,332.301758,192.842178,30.166126,94.586594,700.847107,3966.985596,76.146446,1384,34.241341,214.507385,0.058809,35.293121,8841.005859,3.782296,598.599365,0.58,706.330322,3540.249512,2607.321533,169.25,267.687622,0.904029,0.198506,117.636078,67.696815,1.199275,10744.53711,2857.524902,40.350124,2.340657,641.802673,4.28133,5.009849,72.699997,854.809082,146.641708,471,90.529999,66.199997,20.912203,2.430971,0.40982,383,15.14,3364.980713,752.640503,819.527039,115.144623,798.075989,704.803406,5.175343,158776.6719,9.554006,74.01828,726.870911,23.6,184.649994,540,550.400574,10.14,109.407806,51.224701,0.873804,0.515172,0.014276,0.90644,1049.204102,0.130418,353,10.18,0.703,83.252594
2/2/2017,156.716782,361.410156,2863.913086,123.041336,717.664429,8402.023438,329.131561,194.05661,29.8626,94.247925,684.454712,3956.607422,75.005394,1370,34.72089,209.663681,0.058487,37.182217,8654.15625,3.740478,588.979492,0.596,701.335083,3403.468262,2645.745117,168.75,265.812408,0.905482,0.202122,117.086304,67.383888,1.201035,10686.02344,2835.531494,40.350124,2.350725,635.062622,4.27933,5.024062,72.699997,832.865356,148.233826,468,89.209999,70.599998,20.650745,2.444857,0.40982,378.799988,16.07,3374.149414,742.841431,809.532837,115.144623,798.572998,704.803406,5.170604,160114.6719,9.377894,74.490936,730.36969,23.549999,187,540,469.258057,10.19,110.168907,51.707947,0.873804,0.514233,0.014276,0.920603,1049.204102,0.128681,349,10,0.71,83.252594
2/3/2017,157.596344,361.910492,2869.020264,123.496132,734.307312,8266.017578,328.725159,195.689804,30.507015,93.877731,670.506775,3947.0896,75.72036,1387,35.844044,210.932266,0.058656,35.113209,8731.625977,3.726538,590.299866,0.635,692.343567,3256.265137,2593.598633,168.25,264.406006,0.930107,0.208851,118.500023,67.801109,1.236817,10737.22363,2837.975098,40.704075,2.349886,650.040527,4.28633,5.095123,72.599998,827.878052,149.574554,480,88.68,69.400002,21.08215,2.490855,0.41082,373.700012,15.83,3337.473877,756.032471,799.538635,113.366646,796.585022,704.803406,5.260651,160560.6719,9.598033,72.222176,734.743225,23.700001,185.330002,524,459.481812,10.15,109.502937,51.562969,0.876064,0.528497,0.014664,0.938307,1049.204102,0.129426,346,10,0.705,83.067589
2/6/2017,156.753036,358.408295,2841.355713,122.793282,730.940186,8129.192871,326.733643,193.302826,30.418291,93.137367,687.258728,3887.42041,75.250931,1357.5,35.250919,209.048599,0.05814,33.933773,8786.310547,3.680072,595.015503,0.596,695.840271,3046.099609,2521.325928,169,266.093689,0.940539,0.203889,117.897888,67.287598,1.22401,10700.65234,2818.425293,40.615585,2.323878,629.071411,4.27233,5.09157,71.900002,821.893433,149.993515,474.5,86.800003,69.099998,20.41979,2.465253,0.40982,371,16,3342.05835,756.032471,799.538635,108.032745,798.075989,705.282898,5.398092,159222.6563,9.765338,72.789368,736.492615,23.700001,185.339996,530,450.683258,10.13,109.407806,51.224701,0.875311,0.517049,0.014692,0.948929,1049.204102,0.130666,356,10,0.697,83.160095
2/7/2017,157.297104,354.496735,2876.255859,122.958641,732.190796,8304.526367,324.335632,194.517258,30.586401,92.979836,676.258484,3847.638184,76.254768,1382,34.451672,212.123962,0.058233,33.873798,8704.289063,3.67589,603.5979,0.592,708.32843,3102.549072,2524.985107,169.100006,267.312592,0.933699,0.208641,116.667427,67.969612,1.230365,10605.56836,2831.45874,41.588943,2.351563,668.762878,4.27933,5.066699,72,827.878052,145.384781,476.5,87.25,68.699997,21.08215,2.473064,0.40982,374,16.219999,3346.643066,746.233459,821.52594,105.577454,797.578979,700.967712,5.450224,159222.6563,9.774144,72.883896,739.116638,23.6,183.100006,535,450.683258,10.23,109.312668,51.321346,0.871544,0.51611,0.014498,0.946274,1049.204102,0.131741,359,10.01,0.7,83.252594
2/8/2017,155.238739,343.899078,2808.158203,120.064537,726.322571,8303.707031,330.025757,194.433502,30.516354,95.508133,670.075439,3892.609619,75.684242,1350,34.7882,208.433533,0.058157,32.994217,8728.892578,3.71678,599.825378,0.5895,727.310425,3052.613037,2470.094238,168.75,267.875153,0.923609,0.215496,114.799904,68.001709,1.220393,10386.14258,2851.008545,42.031384,2.336462,666.516174,4.24933,4.953,72.199997,828.875549,144.127853,471.5,86.879997,69.199997,21.077791,2.450498,0.41181,372,15.7,3332.889648,729.650452,814.529968,104.730804,800.064026,702.406128,5.374395,158330.6719,9.333867,73.262024,739.116638,23.549999,181.550003,536,420.377014,10.23,107.505058,51.224701,0.844427,0.492744,0.014267,0.908211,1049.204102,0.135132,355,10.1,0.71,80.847519
2/9/2017,153.0625,345.490967,2780.493896,117.509453,707.274658,8192.280273,324.295013,192.507172,30.376265,95.854675,651.454163,3875.312256,75.019836,1356.5,35.335052,209.279266,0.058157,32.164616,8988.652344,3.679608,598.882263,0.562,715.821289,3283.187256,2307.250488,170,272.375671,0.923438,0.214487,114.904617,68.443031,1.219122,10430.02734,2810.279785,41.146507,2.313811,655.282715,4.24233,4.885491,72.300003,821.893433,149.574554,471,86.709999,68.400002,21.090864,2.489988,0.41181,372,15.95,3337.473877,728.519775,818.52771,104.730804,800.560974,703.365051,5.345959,151194.6406,9.474755,73.687408,737.367249,23.700001,179.479996,550,420.377014,10.19,108.741844,52.964401,0.839907,0.484768,0.014138,0.892277,1049.204102,0.133974,366,10.02,0.689,82.790077
